Constituency	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6
Birmingham Hall Green	771.5	1125.701	759	1104.05	734	1104.05	721.5	1125.701	734	1147.352	759	1147.352
Birmingham Hodge Hill	734	1277.258	721.5	1255.607	696.5	1255.607	684	1277.258	696.5	1298.909	721.5	1298.909
Birmingham Ladywood	771.5	1169.003	759	1147.352	734	1147.352	721.5	1169.003	734	1190.654	759	1190.654
Birmingham Northfield	734	1233.956	721.5	1212.305	696.5	1212.305	684	1233.956	696.5	1255.607	721.5	1255.607
Birmingham Perry Barr	696.5	1298.909	684	1277.258	659	1277.258	646.5	1298.909	659	1320.56	684	1320.56
Birmingham Selly Oak	734	1190.654	721.5	1169.003	696.5	1169.003	684	1190.654	696.5	1212.305	721.5	1212.305
Birmingham Yardley	696.5	1212.305	684	1190.654	659	1190.654	646.5	1212.305	659	1233.956	684	1233.956
Bishop Auckland	771.5	1212.305	759	1190.654	734	1190.654	721.5	1212.305	734	1233.956	759	1233.956
Blackburn	884	627.728	871.5	606.077	846.5	606.077	834	627.728	846.5	649.379	871.5	649.379
Blackley & Broughton	734	671.03	721.5	649.379	696.5	649.379	684	671.03	696.5	692.681	721.5	692.681
Blackpool North & Cleveleys	771.5	779.285	759	757.634	734	757.634	721.5	779.285	734	800.936	759	800.936
Blackpool South	659	671.03	646.5	649.379	621.5	649.379	609	671.03	621.5	692.681	646.5	692.681
Blaenau Gwent	621.5	692.681	609	671.03	584	671.03	571.5	692.681	584	714.332	609	714.332
Blaydon	584	1320.56	571.5	1298.909	546.5	1298.909	534	1320.56	546.5	1342.211	571.5	1342.211
Blyth Valley	771.5	562.775	759	541.124	734	541.124	721.5	562.775	734	584.426	759	584.426
Bognor Regis & Littlehampton	846.5	476.171	834	454.52	809	454.52	796.5	476.171	809	497.822	834	497.822
Bolsover	1034	1710.278	1021.5	1688.627	996.5	1688.627	984	1710.278	996.5	1731.929	1021.5	1731.929
Bolton North East	996.5	995.795	984	974.144	959	974.144	946.5	995.795	959	1017.446	984	1017.446
Bolton South East	734	714.332	721.5	692.681	696.5	692.681	684	714.332	696.5	735.983	721.5	735.983
Bolton West	734	757.634	721.5	735.983	696.5	735.983	684	757.634	696.5	779.285	721.5	779.285
Bootle	696.5	735.983	684	714.332	659	714.332	646.5	735.983	659	757.634	684	757.634
Boston & Skegness	509	930.842	496.5	909.191	471.5	909.191	459	930.842	471.5	952.493	496.5	952.493
Bosworth	1146.5	1125.701	1134	1104.05	1109	1104.05	1096.5	1125.701	1109	1147.352	1134	1147.352
Bournemouth East	884	1147.352	871.5	1125.701	846.5	1125.701	834	1147.352	846.5	1169.003	871.5	1169.003
Bournemouth West	621.5	1731.929	609	1710.278	584	1710.278	571.5	1731.929	584	1753.58	609	1753.58
Bracknell	621.5	1688.627	609	1666.976	584	1666.976	571.5	1688.627	584	1710.278	609	1710.278
Bradford East	771.5	1602.023	759	1580.372	734	1580.372	721.5	1602.023	734	1623.674	759	1623.674
Bradford South	921.5	735.983	909	714.332	884	714.332	871.5	735.983	884	757.634	909	757.634
Bradford West	884	800.936	871.5	779.285	846.5	779.285	834	800.936	846.5	822.587	871.5	822.587
Braintree	884	757.634	871.5	735.983	846.5	735.983	834	757.634	846.5	779.285	871.5	779.285
Brecon & Radnorshire	1221.5	1342.211	1209	1320.56	1184	1320.56	1171.5	1342.211	1184	1363.862	1209	1363.862
Brent Central	584	1233.956	571.5	1212.305	546.5	1212.305	534	1233.956	546.5	1255.607	571.5	1255.607
Brent North	996.5	1385.513	984	1363.862	959	1363.862	946.5	1385.513	959	1407.164	984	1407.164
Brentford & Isleworth	959	1407.164	946.5	1385.513	921.5	1385.513	909	1407.164	921.5	1428.815	946.5	1428.815
Brentwood & Ongar	921.5	1472.117	909	1450.466	884	1450.466	871.5	1472.117	884	1493.768	909	1493.768
Bridgend	1184	1363.862	1171.5	1342.211	1146.5	1342.211	1134	1363.862	1146.5	1385.513	1171.5	1385.513
Bridgwater & Somerset West	471.5	1515.419	459	1493.768	434	1493.768	421.5	1515.419	434	1537.07	459	1537.07
Brigg & Goole	434	1710.278	421.5	1688.627	396.5	1688.627	384	1710.278	396.5	1731.929	421.5	1731.929
Brighton Kemptown	1071.5	909.191	1059	887.54	1034	887.54	1021.5	909.191	1034	930.842	1059	930.842
Brighton Pavilion	1184	1710.278	1171.5	1688.627	1146.5	1688.627	1134	1710.278	1146.5	1731.929	1171.5	1731.929
Bristol East	1146.5	1688.627	1134	1666.976	1109	1666.976	1096.5	1688.627	1109	1710.278	1134	1710.278
Bristol North West	584	1580.372	571.5	1558.721	546.5	1558.721	534	1580.372	546.5	1602.023	571.5	1602.023
Bristol South	546.5	1602.023	534	1580.372	509	1580.372	496.5	1602.023	509	1623.674	534	1623.674
Bristol West	546.5	1645.325	534	1623.674	509	1623.674	496.5	1645.325	509	1666.976	534	1666.976
Broadland	584	1623.674	571.5	1602.023	546.5	1602.023	534	1623.674	546.5	1645.325	571.5	1645.325
Bromley & Chislehurst	1221.5	1212.305	1209	1190.654	1184	1190.654	1171.5	1212.305	1184	1233.956	1209	1233.956
Bromsgrove	1146.5	1558.721	1134	1537.07	1109	1537.07	1096.5	1558.721	1109	1580.372	1134	1580.372
Broxbourne	734	1320.56	721.5	1298.909	696.5	1298.909	684	1320.56	696.5	1342.211	721.5	1342.211
Broxtowe	1071.5	1298.909	1059	1277.258	1034	1277.258	1021.5	1298.909	1034	1320.56	1059	1320.56
Buckingham	1034	1060.748	1021.5	1039.097	996.5	1039.097	984	1060.748	996.5	1082.399	1021.5	1082.399
Burnley	846.5	1428.815	834	1407.164	809	1407.164	796.5	1428.815	809	1450.466	834	1450.466
